Accper,Stkcd,Indcd,F100101B,F100102B,F100103C,F100201B,F100202B,F100203C,F100301B,F100302B,F100303C,F100401A,F100501A,F100601B,F100602B,F100603C,F100701A,F100801A,F100802A,F100901A,F100902A,F100903A,F100904A,F101001A,F101002A,F101101B,F101201B,F101202B,F101301B,F101302C
2006-06-30,600111,C32,189.760818,47.92695,72.340413,3.2501580000000003,2.541276,2.819457,27.838828999999997,17.512373,17.368899,2.134819,1.3038049999999999,219.335446,69.203499,107.920547,2.4560419999999996,3043173545.0,3840222820.0,1.3123770000000001,1.3863159999999999,1.656107,1.749411,0.761976,0.603826,,0.0,0.5514220000000001,40.717431,23.761966
2006-03-31,600111,C32,161.122726,198.02445,141.08680900000002,2.759655,2.8710430000000002,2.7198599999999997,23.637483,11.429514999999999,15.494342000000001,1.8455759999999999,1.280806,186.234046,184.914964,172.264059,2.116993,2424020427.0,3135826268.0,1.198566,1.277592,1.5505209999999998,1.652753,0.8343309999999999,0.644945,,0.0,0.317287,97.602215,23.35045
2005-12-31,600111,C32,122.31409599999999,122.31409599999999,122.31409599999999,2.094954,2.094954,2.094954,17.944069,17.944069,17.944069,1.404958,0.9744379999999999,141.37700800000002,141.37700800000002,141.37700800000002,1.6119450000000002,2211496979.0,2551440489.0,1.094959,1.168136,1.263272,1.347698,0.913276,0.7915949999999999,,0.0,-0.259319,21.346759,21.346759
2005-09-30,600111,C32,71.330001,83.333043,123.556386,2.319819,2.102221,2.114675,101.521548,21.717692,26.758082,1.4190200000000002,0.946357,84.323483,77.238911,102.062163,1.61324,2273186006.0,2621448632.0,1.0946129999999998,1.1661190000000001,1.262312,1.344774,0.913565,0.792197,,0.0,-0.259319,26.904282000000002,24.56702
2005-06-30,600111,C32,65.554924,157.649169,119.437431,2.1319999999999997,1.977899,2.057347,93.30208,42.938061,,1.316718,0.8536799999999999,77.496418,117.61958,102.766451,1.49664,2261831398.0,2522550698.0,1.069556,1.138873,1.192843,1.27015,0.934968,0.838334,,0.0,-0.319287,44.995034000000004,25.012670999999997
2005-03-31,600111,C32,86.62615,604.804569,109.57518300000001,2.817285,2.818499,2.7379130000000003,123.29203400000002,,,1.742089,1.1803569999999999,102.40598100000001,251.47517000000002,117.65793000000001,1.986435,2372356592.0,2982487372.0,1.169724,1.249884,1.470558,1.571333,0.854902,0.680014,,0.0,-0.100486,96.34328199999999,25.086662
2004-12-31,600111,C32,96.30330500000001,96.30330500000001,96.30330500000001,3.132009,3.132009,3.132009,137.065198,137.065198,137.065198,1.9380970000000002,1.294072,113.845928,113.845928,113.845928,2.212712,2490951690.0,3261680405.0,1.21148,1.294219,1.5863260000000001,1.694665,0.8254370000000001,0.630387,,0.0,-0.193464,25.339295,25.339295
2004-09-30,600111,C32,65.75197,70.69933,67.445459,5.179745,3.350562,3.450496,110.032251,150.485884,202.760325,2.017082,1.357194,68.524753,89.646341,79.98793,2.3062549999999997,2510490914.0,3347225283.0,1.231585,1.3126790000000002,1.642066,1.750189,0.811962,0.608989,,0.0,-0.159477,26.269076000000002,19.810405
2004-06-30,600111,C32,65.75197,76.14103399999999,74.65325899999999,5.179745,3.246656,3.7845519999999997,110.032251,21.086523,35.644834,2.033714,1.355197,68.524753,103.108142,87.17196700000001,2.325184,2519645199.0,3363107575.0,1.2328350000000001,1.315528,1.645532,1.7559060000000002,0.811138,0.6077060000000001,,0.0,-0.159477,41.408503,21.65785
2004-03-31,600111,C32,86.203594,134.12983400000002,81.536367,6.790863000000001,4.842902,5.756195,144.256901,17.32685,50.499244,2.681829,1.7569759999999999,89.838828,168.02393999999998,87.572701,3.070148,2834390109.0,4198730109.0,1.372814,1.4634129999999999,2.03362,2.167831,0.728431,0.491734,,0.0,0.101961,95.39878900000001,24.487187
2003-12-31,600111,C32,78.227461,78.227461,78.227461,6.162527,6.162527,6.162527,130.90928799999998,130.90928799999998,130.90928799999998,2.460063,1.643046,81.52633900000001,81.52633900000001,81.52633900000001,2.7988630000000003,2669744567.0,3841484073.0,1.329108,1.420454,1.912448,2.043885,0.752384,0.52289,,0.0,-0.145251,26.937191,26.937191
2003-09-30,600111,C32,48.423684,82.995068,59.301048,10.417397,7.177080999999999,7.309958,62.35398299999999,99.793626,,2.554329,1.76705,48.423684,87.22188299999999,60.882109,2.889568,2609793723.0,3837846812.0,1.361429,1.46089,2.0020569999999998,2.14832,0.734522,0.499486,,0.0,-0.12625699999999998,38.406197999999996,27.882675
2003-06-30,600111,C32,53.687128,80.449875,63.746373,11.549723,8.139141,9.136978,69.131589,142.067486,65.959436,2.847817,2.01693,53.687128,84.579895,65.00392099999999,3.222953,2691415224.0,4143226692.0,1.437466,1.551035,2.212868,2.387699,0.695669,0.451902,,0.0,-0.031285,61.70165600000001,29.169273999999998
2003-03-31,600111,C32,59.693647,238.26741600000003,63.261357,12.841907,11.365901,11.602973,76.866035,183.46177600000001,,3.3476690000000002,2.9469950000000003,59.693647,238.26741600000003,63.261357,3.639187,2437631500.0,4182310892.0,1.677285,1.846034,2.877764,3.16729,0.596202,0.347492,,0.0,0.07709500000000001,186.491275,32.277255
2002-12-31,600111,C32,55.42096899999999,55.42096899999999,55.42096899999999,11.922725,11.922725,11.922725,71.364213,71.364213,71.364213,3.119262,2.848513,55.42096899999999,55.42096899999999,55.42096899999999,3.3919550000000003,2287083871.0,3856362507.0,1.631616,1.8032110000000001,2.751146,3.040481,0.612889,0.363485,223.75,0.004469,-0.264918,23.976895000000003,23.976895000000003
2002-09-30,600111,C32,56.41608000000001,84.207009,,14.410192000000002,16.955163,,,,,3.9397269999999995,3.657075,56.41608000000001,84.207009,,4.285616,2599643655.0,4767964346.0,1.8888340000000001,2.0916,3.464279,3.8361690000000004,0.5294270000000001,0.28865999999999997,,0.0,-0.080816,56.576538,
