,Stkcd,Accper,Indcd,F100101B,F100102B,F100103C,F100201B,F100202B,F100203C,F100301B,F100302B,F100303C,F100401A,F100501A,F100601B,F100602B,F100603C,F100701A,F100801A,F100802A,F100901A,F100902A,F100903A,F100904A,F101001A,F101002A,F101101B,F101201B,F101202B,F101301B,F101302C
155701,600456,2019-09-30,C32,70.290165,43.751028999999996,45.257191,3.391462,2.706024,2.8639240000000004,30.773218,,87.432547,2.895379,1.441337,81.97150699999999,51.001064,53.955213,3.149897,15727593215.0,15727593215.0,1.92822,1.9600259999999998,1.92822,1.9600259999999998,0.518613,0.518613,,0.0,0.781312,50.957353000000005,39.323759
155765,002171,2019-09-30,C32,20.188958,16.885312,17.778588,0.629842,0.528157,0.547298,46.080748,,,1.448672,1.247325,20.204486,17.376065,18.196742999999998,1.477966,10231738288.0,10769753209.0,1.2458049999999998,1.545933,1.311313,1.6272229999999999,0.8026939999999999,0.762594,,0.0,0.336933,22.783436,17.945338
155784,600549,2019-09-30,C32,23.639495,56.397785,53.153724,0.9690979999999999,1.117143,1.044732,51.027789,13.882913,8.634373,2.0019,0.8606090000000001,37.976917,130.61245,120.020205,2.616283,32559197384.0,32615312964.0,1.4076549999999999,1.478477,1.410081,1.481025,0.7104010000000001,0.709179,,0.0,0.110099,48.443886,37.112958
155796,601677,2019-09-30,C32,12.455869,6.497381,7.589865,0.493504,0.471138,0.470709,217.093998,,,0.9076040000000001,0.600223,13.267396,7.043691,8.196762,0.9353459999999999,10481075848.0,10436320718.0,0.94234,0.9566959999999999,0.938317,0.9526110000000001,1.061188,1.0657379999999999,,0.0,0.21387899999999999,10.768284,9.636567999999999
155962,002160,2019-09-30,C32,,158.10668,,0.572991,0.560066,0.54289,,37.121321,,0.786834,0.441558,,151.58001000000002,,0.7863680000000001,5723499510.0,5632142837.0,0.912193,1.065977,0.897633,1.0489620000000002,1.09626,1.114042,,0.0,-0.192412,52.97661899999999,
156052,002466,2019-09-30,C32,11.076426,37.599539,23.529006,4.974373,6.135288,5.8799470000000005,8.580741999999999,16.834108999999998,13.978019,2.5686869999999997,0.683944,14.118404,167.01426899999998,47.749736,3.056239,67726128713.0,67790331219.0,1.387238,1.491236,1.3885530000000001,1.492649,0.720857,0.720174,,0.0,-0.072306,27.749817999999998,19.590248000000003
156077,000751,2019-09-30,C32,80.756867,23.806252,32.066919,0.512825,0.55905,0.5244439999999999,,4.471991,7.492512,1.6716630000000001,1.0799239999999999,80.756867,23.806252,32.066919,1.6716630000000001,6515024125.0,6515027667.0,1.3592959999999998,1.641561,1.359297,1.641562,0.735675,0.735675,,0.0,0.06666699999999999,30.805964000000003,27.999340999999998
156084,603305,2019-09-30,C32,39.444051,63.85515,57.970502,10.574539,11.183056,11.055054,29.551459,34.925206,31.593153000000004,7.822411,5.499902,39.444051,63.85515,57.970502,7.822411,3915815008.0,12424430155.0,1.687793,1.8589419999999999,5.355173000000001,5.89821,0.59249,0.18673499999999998,,0.0,-0.04931,23.418136999999998,16.400346
156085,002295,2019-09-30,C32,40.533398999999996,29.252938,35.953251,0.336473,0.367912,0.36577800000000005,,6.391088,,1.634033,0.9914280000000001,40.533398999999996,29.252938,35.953251,1.634033,2745175488.0,2746482465.0,1.376172,1.404892,1.376827,1.405561,0.726654,0.726308,,0.0,0.0,29.04898,26.015299
156093,002182,2019-09-30,C32,16.820818,8.038617,9.267799,1.083485,1.052792,1.057248,61.38235400000001,17.379286999999998,55.827968999999996,2.4238720000000002,1.163942,16.773509,8.00871,9.220023,2.424418,7517579095.0,8306652539.0,1.4857049999999998,1.5831680000000001,1.64165,1.749343,0.673081,0.609143,,0.0,0.370192,11.530510000000001,9.521466
156119,000612,2019-09-30,C32,,142.85263500000002,,1.049192,1.08644,1.043274,6.139858,6.968233000000001,8.205775,1.2096719999999999,0.729092,,142.85263500000002,,1.2096719999999999,8010639904.0,8012885257.0,1.125061,1.13401,1.125376,1.134328,0.888841,0.888592,,0.0,0.090909,109.33114099999999,
156153,002540,2019-09-30,C32,13.651046,16.668303,16.206588,1.426238,1.610978,1.527393,11.88797,16.28635,21.505136,1.1403860000000001,1.067718,13.651046,16.668303,16.206588,1.1403860000000001,5455269459.0,5641606653.0,1.088597,1.137583,1.125781,1.17644,0.9186139999999999,0.888273,,0.0,-0.127706,19.881979,14.965254000000002
156221,002082,2019-09-30,C32,16.17856,14.637054000000001,13.057314,0.141286,0.127145,0.12495099999999999,14.958924,,,1.1179729999999999,0.666028,24.088591,20.173038000000002,18.741678,1.2945010000000001,3834697241.0,3834697241.0,1.059025,1.2610059999999998,1.059025,1.2610059999999998,0.9442649999999999,0.9442649999999999,,0.0,0.153117,23.687361,17.191832
156288,000629,2019-09-30,C32,8.119752,13.394707,10.314088,1.6939950000000001,1.8557700000000001,1.726618,14.438457000000001,9.652741,10.213396000000001,2.635958,1.9634909999999999,8.311286,13.659512,10.471254,2.7174110000000002,22240224546.0,29333788938.0,1.6604740000000002,1.7002650000000001,2.190085,2.2425669999999998,0.602238,0.456603,,0.0,-0.003333,14.929535000000001,9.622309
156291,000962,2019-09-30,C32,101.59673599999999,132.25847199999998,69.581498,2.804855,5.091355,4.213203,49.203804999999996,15.248403,20.684479,2.667647,1.9549900000000002,102.813213,138.53582,71.110549,2.679828,3532835194.0,3532842095.0,2.191529,2.247819,2.191533,2.247824,0.45630299999999996,0.45630200000000004,,0.0,0.137031,117.019204,70.86099399999999
156437,002428,2019-09-30,C32,682.229478,,,11.165191,11.697141,10.853532000000001,110.828676,,,3.395033,2.93292,602.3050549999999,,,3.513925,5737975604.0,5787363701.0,2.700933,3.241148,2.72418,3.269045,0.370242,0.367083,,0.0,0.59,983.294483,790.2077559999999
